Date,Price,Oil,Rate,War
2022-02-15,2676.5400390625,92.06999969482422,1.25,0
2022-02-16,2729.679931640625,93.66000366210938,1.25,0
2022-02-17,2744.090087890625,91.76000213623047,1.25,0
2022-02-18,2744.52001953125,91.06999969482422,1.25,0
2022-02-21,2743.800048828125,92.3499984741211,1.25,0
2022-02-22,2706.7900390625,92.0999984741211,1.25,0
2022-02-23,2719.530029296875,92.80999755859375,1.25,0
2022-02-24,2648.800048828125,91.58999633789062,1.25,1
2022-02-25,2676.760009765625,95.72000122070312,1.25,1
2022-02-28,2699.179931640625,103.41000366210938,1.25,1
2022-03-02,2703.52001953125,110.5999984741211,1.25,1
2022-03-03,2747.080078125,107.66999816894531,1.25,1
2022-03-04,2713.429931640625,115.68000030517578,1.25,1
2022-03-07,2651.31005859375,119.4000015258789,1.25,1
2022-03-08,2622.39990234375,123.69999694824219,1.25,1
2022-03-10,2680.320068359375,108.69999694824219,1.25,1
2022-03-11,2661.280029296875,106.0199966430664,1.25,1
2022-03-14,2645.64990234375,103.01000213623047,1.25,1
